,coconut_id,contains_sugar,contains_ring_sugars,contains_linear_sugars,molecular_weight,npl_score,number_of_carbons,number_of_nitrogens,number_of_oxygens,fsp3,hBondAcceptorCount,hBondDonorCount,lipinskiRuleOf5Failures,numberSpiroAtoms,xlogp
44,CNP0129509,0,False,False,303.3535889930511,1.864548325333618,17,1,4,0.647058823529411,5,3,0,0,-0.812
45,CNP0014670,0,False,False,312.4100419897163,0.849003253567551,18,4,1,0.555555555555555,5,1,0,0,1.372999999999999
46,CNP0381475,0,False,False,484.59047274012937,0.6676741089610441,29,4,3,0.413793103448275,7,2,0,0,3.241
47,CNP0193302,0,False,False,416.55128919527533,1.8468150277445772,25,0,5,0.64,5,0,0,0,3.894999999999999
48,CNP0426917,0,False,False,350.4930591729024,1.806295178798163,21,0,4,0.7619047619047611,4,0,1,0,3.081
49,CNP0129861,0,False,False,239.31124047832975,2.020261135067069,13,1,3,0.769230769230769,4,1,0,0,1.184
50,CNP0171841,0,False,False,372.4986494588268,1.50578533736696,23,0,4,0.521739130434782,4,1,0,0,4.596000000000001
51,CNP0386095,0,False,False,96.12734633890372,0.7566369498356631,6,0,1,0.33333333333333304,1,0,0,0,1.126
52,CNP0330265,0,False,False,280.3217785758194,-0.585405211061191,17,2,2,0.058823529411764004,4,2,0,0,1.941
53,CNP0030526,0,False,False,314.3348391688172,0.08268105027083801,21,0,3,0.0,3,1,0,0,4.191
54,CNP0174750,0,False,False,210.22688512850664,1.60553124941011,11,0,4,0.636363636363636,4,0,0,0,1.331999999999999
55,CNP0163743,0,False,False,355.34210762646273,0.08922646293321301,19,1,6,0.157894736842105,7,1,0,0,1.388
56,CNP0316931,0,False,False,528.6333116573046,1.942935008164506,27,0,10,0.777777777777777,10,5,2,0,2.734999999999999
57,CNP0115930,0,False,False,1309.4634661039595,0.6121895400973281,59,14,12,0.23728813559322,26,9,4,0,0.9679999999999981
58,CNP0436859,0,False,False,304.7499131300915,0.9046570804730111,14,0,3,0.5714285714285711,3,0,0,0,4.431999999999999
59,CNP0014047,0,False,False,365.4264155743573,0.07240221729304301,21,3,3,0.33333333333333304,6,0,0,0,1.431999999999999
60,CNP0207538,0,False,False,560.7215791213309,1.903947100122576,35,0,6,0.6000000000000001,6,2,2,0,6.3820000000000014
61,CNP0436860,0,False,False,1033.3496782714271,1.64171185939412,61,4,7,0.459016393442622,11,6,4,0,9.099000000000002
62,CNP0197832,0,False,False,270.2805646124466,0.5401962577411981,16,0,4,0.0625,4,2,0,0,1.9900000000000002
63,CNP0166799,0,False,False,426.71851952249875,1.776871817244389,30,0,1,0.6000000000000001,1,1,2,0,9.486000000000002
64,CNP0184865,0,False,False,366.3631821469065,2.291426625862781,18,0,8,0.7222222222222221,8,1,0,1,-0.494
65,CNP0350142,0,False,False,217.22109704328386,0.7098395002402681,12,1,3,0.25,4,2,0,0,0.598
66,CNP0049494,0,False,False,471.5055223178756,-0.057369015170848005,27,3,5,0.11111111111111101,8,3,0,0,2.043999999999999
67,CNP0118321,0,False,False,266.33335474626494,2.254369022883776,15,0,4,0.6666666666666661,4,2,0,0,0.579
68,CNP0130503,0,False,False,792.07436354232,0.604390900527438,22,10,3,0.13636363636363602,13,8,3,0,3.679999999999999
69,CNP0436861,0,False,False,348.6690817036505,0.09210408819662101,13,0,2,0.461538461538461,2,0,0,0,4.626
70,CNP0098539,0,False,False,208.25409760537678,2.284029542321678,12,0,3,0.6666666666666661,3,0,0,0,1.312
